N,beta1,beta2,covariance,p,me_cov,exp_of_var
100,0.1,1.0,0.5,5,0.0,yes
100,0.1,1.0,0.5,5,0.0,no
100,1.0,0.1,0.5,5,0.0,yes
100,1.0,0.1,0.5,5,0.0,no
100,1.0,1.0,-0.9,5,0.0,yes
100,1.0,1.0,-0.9,5,0.0,no
100,1.0,1.0,-0.5,5,0.0,yes
100,1.0,1.0,-0.5,5,0.0,no
100,1.0,1.0,0.0,5,0.0,yes
100,1.0,1.0,0.0,5,0.0,no
100,1.0,1.0,0.5,5,0.0,yes
100,1.0,1.0,0.5,5,0.0,no
100,1.0,1.0,0.5,5,0.5,yes
100,1.0,1.0,0.5,5,0.5,no
100,1.0,1.0,0.5,20,0.0,yes
100,1.0,1.0,0.5,20,0.0,no
100,1.0,1.0,0.5,50,0.0,yes
100,1.0,1.0,0.5,50,0.0,no
100,1.0,1.0,0.5,100,0.0,yes
100,1.0,1.0,0.5,100,0.0,no
100,1.0,1.0,0.5,500,0.0,yes
100,1.0,1.0,0.5,500,0.0,no
100,1.0,1.0,0.9,5,0.0,yes
100,1.0,1.0,0.9,5,0.0,no
100,1.0,10.0,0.5,5,0.0,yes
100,1.0,10.0,0.5,5,0.0,no
100,10.0,1.0,0.5,5,0.0,yes
100,10.0,1.0,0.5,5,0.0,no
1000,0.1,1.0,0.5,5,0.0,yes
1000,0.1,1.0,0.5,5,0.0,no
1000,1.0,0.1,0.5,5,0.0,yes
1000,1.0,0.1,0.5,5,0.0,no
1000,1.0,1.0,-0.9,5,0.0,yes
1000,1.0,1.0,-0.9,5,0.0,no
1000,1.0,1.0,-0.5,5,0.0,yes
1000,1.0,1.0,-0.5,5,0.0,no
1000,1.0,1.0,0.0,5,0.0,yes
1000,1.0,1.0,0.0,5,0.0,no
1000,1.0,1.0,0.5,5,0.0,yes
1000,1.0,1.0,0.5,5,0.0,no
1000,1.0,1.0,0.5,5,0.5,yes
1000,1.0,1.0,0.5,5,0.5,no
1000,1.0,1.0,0.5,20,0.0,yes
1000,1.0,1.0,0.5,20,0.0,no
1000,1.0,1.0,0.5,50,0.0,yes
1000,1.0,1.0,0.5,50,0.0,no
1000,1.0,1.0,0.5,100,0.0,yes
1000,1.0,1.0,0.5,100,0.0,no
1000,1.0,1.0,0.5,500,0.0,yes
1000,1.0,1.0,0.5,500,0.0,no
1000,1.0,1.0,0.9,5,0.0,yes
1000,1.0,1.0,0.9,5,0.0,no
1000,1.0,10.0,0.5,5,0.0,yes
1000,1.0,10.0,0.5,5,0.0,no
1000,10.0,1.0,0.5,5,0.0,yes
1000,10.0,1.0,0.5,5,0.0,no
3000,0.1,1.0,0.5,5,0.0,yes
3000,0.1,1.0,0.5,5,0.0,no
3000,1.0,0.1,0.5,5,0.0,yes
3000,1.0,0.1,0.5,5,0.0,no
3000,1.0,1.0,-0.9,5,0.0,yes
3000,1.0,1.0,-0.9,5,0.0,no
3000,1.0,1.0,-0.5,5,0.0,yes
3000,1.0,1.0,-0.5,5,0.0,no
3000,1.0,1.0,0.0,5,0.0,yes
3000,1.0,1.0,0.0,5,0.0,no
3000,1.0,1.0,0.5,5,0.0,yes
3000,1.0,1.0,0.5,5,0.0,no
3000,1.0,1.0,0.5,5,0.5,yes
3000,1.0,1.0,0.5,5,0.5,no
3000,1.0,1.0,0.5,20,0.0,yes
3000,1.0,1.0,0.5,20,0.0,no
3000,1.0,1.0,0.5,50,0.0,yes
3000,1.0,1.0,0.5,50,0.0,no
3000,1.0,1.0,0.5,100,0.0,yes
3000,1.0,1.0,0.5,100,0.0,no
3000,1.0,1.0,0.5,500,0.0,yes
3000,1.0,1.0,0.5,500,0.0,no
3000,1.0,1.0,0.9,5,0.0,yes
3000,1.0,1.0,0.9,5,0.0,no
3000,1.0,10.0,0.5,5,0.0,yes
3000,1.0,10.0,0.5,5,0.0,no
3000,10.0,1.0,0.5,5,0.0,yes
3000,10.0,1.0,0.5,5,0.0,no
